"grpd_time_event","avg_sqDevFromRealization","avg_VarPredicted","avg_error","avg_disagreementEV","time","event","avgEV","avg_disagreementEVMinusPersoni","avg_realization","dataSet"
55,7.0409,2.03793800813008,5.00296199186992,1.10276311719215,1982.625,1983,6.33682926829268,1.1020738902439,3.9,"PRPGDP"
56,0.355777777777778,0.990444444444444,-0.634666666666667,0.328369135802469,1982.875,1982,6.03444444444444,0.328101079365079,6.2,"PRPGDP"
57,2.68954444444444,1.65545555555556,1.03408888888889,0.380833024691358,1982.875,1983,5.41944444444444,0.380522140589569,3.9,"PRPGDP"
58,1.43621176470588,1.96727843137255,-0.531066666666667,0.342341868512111,1983.125,1983,4.94588235294118,0.342027504996489,3.9,"PRPGDP"
59,4.63747058823529,2.45813725490196,2.17933333333333,1.0520169550173,1983.125,1984,5.49352941176471,1.05105091557284,3.6,"PRPGDP"
60,1.46370526315789,1.47169824561404,-0.00799298245614031,0.244424376731302,1983.375,1983,5.00421052631579,0.244245834454654,3.9,"PRPGDP"
61,3.58136842105263,2.09814035087719,1.48322807017544,0.401716343490305,1983.375,1984,5.38315789473684,0.401422905693745,3.6,"PRPGDP"
62,1.27655,1.1396183,0.1369317,0.167741,1983.625,1983,4.953,0.167541545778835,3.9,"PRPGDP"
63,3.72012,1.88388,1.83624,0.44402,1983.625,1984,5.41,0.443492033293698,3.6,"PRPGDP"
64,1.10231111111111,0.823022222222222,0.279288888888889,0.29430987654321,1983.875,1983,4.79888888888889,0.294069623582767,3.9,"PRPGDP"
65,2.46986666666667,1.6808,0.789066666666667,0.213195061728395,1983.875,1984,5.10222222222222,0.213021024943311,3.6,"PRPGDP"
66,3.64435862068965,1.74189425287356,1.90246436781609,0.794083234244947,1984.125,1984,5.28827586206897,0.793070372976777,3.6,"PRPGDP"
67,2.59135757575758,1.48246060606061,1.10889696969697,0.420646464646465,1984.375,1984,5.07333333333333,0.420235677083333,3.6,"PRPGDP"
68,0.641578947368421,1.05140350877193,-0.409824561403509,0.531634349030471,1984.625,1984,3.93157894736842,0.529993502274204,3.6,"PRPGDP"
69,0.294407142857143,0.64476130952381,-0.350354166666667,0.279488265306122,1984.875,1984,3.47785714285714,0.279104879482657,3.6,"PRPGDP"
70,0.809542857142857,1.35902857142857,-0.549485714285714,0.808975963718821,1985.125,1986,2.02380952380952,0.806953523809524,2,"PRPGDP"
71,2.43055384615385,2.05734358974359,0.373210256410256,0.942153846153846,1985.375,1985,4.42,0.9406464,3.2,"PRPGDP"
72,9.58589230769231,1.99000512820513,7.59588717948718,1.34899230769231,1985.375,1986,4.87,1.34683392,2,"PRPGDP"
73,0.699379310344827,1.39473563218391,-0.695356321839081,0.450756718192628,1985.625,1985,3.69862068965517,0.450181773399015,3.2,"PRPGDP"
74,5.48395714285714,2.02556666666667,3.45839047619048,0.665932142857143,1985.625,1986,4.195,0.66501865569273,2,"PRPGDP"
75,0.4318,1.03460797101449,-0.602807971014493,0.339700945179584,1985.875,1985,3.50347826086957,0.338999083722601,3.2,"PRPGDP"
76,4.8000347826087,1.96315362318841,2.83688115942029,0.652613988657845,1985.875,1986,4.03652173913043,0.651265612648221,2,"PRPGDP"
77,1.53416666666667,0.665833333333333,0.868333333333333,0.867222222222222,1986.125,1986,2.81666666666667,0.865582860743541,2,"PRPGDP"
78,2.2704875,1.796620875,0.473866625,1.16360815972222,1986.125,1987,3.55208333333333,1.16140852236925,2.5,"PRPGDP"
79,1.89632307692308,1.0980358974359,0.79828717948718,0.563186390532544,1986.375,1986,3.15461538461538,0.562285292307692,2,"PRPGDP"
80,2.9602,1.90492820512821,1.0552717948718,0.790244378698225,1986.375,1987,3.97307692307692,0.788979987692308,2.5,"PRPGDP"
81,1.2511619047619,1.06598095238095,0.185180952380953,0.365770521541951,1986.625,1986,2.94095238095238,0.364856095238096,2,"PRPGDP"
82,1.26807619047619,1.84859047619048,-0.580514285714285,0.600353741496599,1986.625,1987,3.31714285714286,0.598852857142857,2.5,"PRPGDP"
83,2.95983043478261,0.595663405797101,2.36416702898551,0.93972438563327,1986.875,1986,3.42130434782609,0.937782806324111,2,"PRPGDP"
84,1.85735652173913,1.33409275362319,0.523263768115942,0.804502079395085,1986.875,1987,3.52608695652174,0.80283988501617,2.5,"PRPGDP"
85,1.54781052631579,1.72569824561404,-0.177887719298246,0.95895623268698,1987.125,1987,3.26736842105263,0.95599649122807,2.5,"PRPGDP"
86,1.93235789473684,2.42325614035088,-0.490898245614035,1.88113905817175,1987.125,1988,3.72631578947368,1.8753330734243,3.5,"PRPGDP"
87,1.39869230769231,1.43105128205128,-0.0323589743589745,0.409432544378698,1987.375,1987,3.49461538461538,0.408777452307692,2.5,"PRPGDP"
88,1.43476923076923,2.12805128205128,-0.693282051282051,0.838310059171598,1987.375,1988,4.27230769230769,0.836968763076923,3.5,"PRPGDP"
89,1.61764,1.18702666666667,0.430613333333334,0.53604,1987.625,1987,3.54,0.53455512465374,2.5,"PRPGDP"
90,1.5391,2.12456666666667,-0.585466666666667,0.374859,1987.625,1988,4.579,0.373820609418283,3.5,"PRPGDP"
91,0.616272222222222,0.713340277777778,-0.0970680555555556,0.303294135802469,1987.875,1987,3.05944444444444,0.302244675124952,2.5,"PRPGDP"
92,0.478888888888889,1.53111111111111,-1.05222222222222,0.470987654320988,1987.875,1988,3.58888888888889,0.469357939254133,3.5,"PRPGDP"
93,0.66235294117647,1.71313725490196,-1.05078431372549,0.64242214532872,1988.125,1988,3.64117647058824,0.639912683823529,3.5,"PRPGDP"
94,0.839411764705882,2.41254901960784,-1.57313725490196,0.781245674740484,1988.125,1989,4.14117647058824,0.778193933823529,3.9,"PRPGDP"
95,0.3021,1.84206666666667,-1.53996666666667,0.27884375,1988.375,1988,3.3475,0.277604444444444,3.5,"PRPGDP"
96,0.92875,2.59041666666667,-1.66166666666667,0.89359375,1988.375,1989,4.0875,0.889622222222222,3.9,"PRPGDP"
97,0.827025,1.55589166666667,-0.728866666666667,0.8268984375,1988.625,1988,3.51125,0.823223333333333,3.5,"PRPGDP"
98,0.926200000000001,2.68796666666667,-1.76176666666667,0.34479375,1988.625,1989,4.6625,0.343261333333334,3.9,"PRPGDP"
99,0.476623076923077,0.874891666666667,-0.39826858974359,0.470586982248521,1988.875,1988,3.42230769230769,0.467319017094017,3.5,"PRPGDP"
100,0.974707692307692,1.9210358974359,-0.946328205128205,0.354248520710059,1988.875,1989,4.68769230769231,0.351788461538461,3.9,"PRPGDP"
101,1.165225,1.69069166666667,-0.525466666666666,0.3165234375,1989.125,1989,4.82125,0.315116666666667,3.9,"PRPGDP"
102,1.265625,2.17354166666667,-0.907916666666666,0.3983984375,1989.125,1990,4.73125,0.396627777777778,3.8,"PRPGDP"
103,1.24411764705882,1.55607843137255,-0.311960784313725,0.160069204152249,1989.375,1989,4.94117647058824,0.15944393382353,3.9,"PRPGDP"
104,1.92882352941177,2.08960784313726,-0.16078431372549,0.417370242214533,1989.375,1990,5.02941176470588,0.415739889705883,3.8,"PRPGDP"
105,1.01988571428571,1.16878095238095,-0.148895238095238,0.0982857142857144,1989.625,1989,4.86,0.0977041420118344,3.9,"PRPGDP"
106,1.29554285714286,2.08140952380952,-0.785866666666667,0.565738775510204,1989.625,1990,4.65428571428571,0.562391208791209,3.8,"PRPGDP"
107,0.869514285714286,1.04572380952381,-0.176209523809523,0.147014285714286,1989.875,1989,4.75,0.146144378698225,3.9,"PRPGDP"
108,0.767733333333334,1.73386666666667,-0.966133333333333,0.683246222222223,1989.875,1990,4.09066666666667,0.679760272108844,3.8,"PRPGDP"
109,0.823314285714286,1.77420952380952,-0.950895238095238,0.634710204081633,1990.125,1990,4.23428571428571,0.630954522400676,3.8,"PRPGDP"
110,1.67785714285714,1.93166666666667,-0.253809523809523,0.720255102040816,1990.125,1991,4.37857142857143,0.715993237531699,3.4,"PRPGDP"
111,1.66428571428571,0.850952380952381,0.813333333333334,0.258367346938775,1990.375,1990,4.98571428571429,0.251190476190476,3.8,"PRPGDP"
112,3.40142857142857,1.62809523809524,1.77333333333333,1.63632653061224,1990.375,1991,4.72857142857143,1.59087301587302,3.4,"PRPGDP"
113,2.03458461538462,0.93331282051282,1.1012717948718,0.474007100591716,1990.625,1990,5.04923076923077,0.470715384615385,3.8,"PRPGDP"
114,3.00422307692308,1.67044358974359,1.33377948717949,0.668028402366864,1990.625,1991,4.92846153846154,0.663389316239316,3.4,"PRPGDP"
115,1.19277333333333,0.84216,0.350613333333334,0.237592888888889,1990.875,1990,4.77733333333333,0.23731037653587,3.8,"PRPGDP"
116,1.43365333333333,1.83648,-0.402826666666666,0.438979555555555,1990.875,1991,4.39733333333333,0.438457582243361,3.4,"PRPGDP"
117,0.58455294117647,2.00681960784314,-1.42226666666667,0.241983737024221,1991.125,1991,3.98529411764706,0.241761529735861,3.4,"PRPGDP"
118,0.82171,1.66035666666667,-0.838646666666667,0.45628975,1991.375,1991,4.0045,0.455989756738987,3.4,"PRPGDP"
119,0.352685714285714,1.47798095238095,-1.12529523809524,0.22615306122449,1991.625,1991,3.75571428571429,0.225842837546541,3.4,"PRPGDP"
120,0.315417142857143,1.0994780952381,-0.784060952380952,0.266512979591837,1991.875,1991,3.62114285714286,0.266282432031636,3.4,"PRPGDP"
121,0.699300694444445,0.741602083333333,-0.0423013888888886,0.261314101080247,1992.125,1992,2.96180555555556,0.261100783446712,2.3,"PRPGDP"
122,1.06336071428571,0.910072619047619,0.153288095238095,0.219324775510204,1992.125,1993,3.31871428571429,0.219135048195749,2.4,"PRPGDP"
123,0.544920138888889,0.733315972222222,-0.188395833333333,0.135497897376543,1992.375,1992,2.93986111111111,0.135387286848073,2.3,"PRPGDP"
124,1.46197152777778,0.952875694444445,0.509095833333334,0.3950546875,1992.375,1993,3.43291666666667,0.394732193877551,2.4,"PRPGDP"
125,0.391352625581647,0.524558047629566,-0.133205422047919,0.162842644137204,1992.625,1992,2.77802717647059,0.162693110028722,2.3,"PRPGDP"
126,0.817914381193412,0.816049139369625,0.00186524182378684,0.305848868943778,1992.625,1993,3.11558752941176,0.305568015987907,2.4,"PRPGDP"
127,0.169946054054054,0.354072749765766,-0.184126695711712,0.0587508429510592,1992.875,1992,2.63345945945946,0.0587055105105105,2.3,"PRPGDP"
128,0.599007579598791,0.808871699603569,-0.209864120004778,0.327694153281456,1992.875,1993,2.92087755405405,0.327441302854542,2.4,"PRPGDP"
129,0.984162806712903,0.591850849723651,0.392311956989253,0.63129193230281,1993.125,1993,2.99402935483871,0.630590496822473,2.4,"PRPGDP"
130,2.09457961791255,0.779876482301617,1.31470313561093,0.674156469904964,1993.125,1994,3.29181506451613,0.673407407160625,2.1,"PRPGDP"
131,0.720463749754543,0.629650108486453,0.0908136412680899,0.264958197639107,1993.375,1993,3.07491151428571,0.264728995045993,2.4,"PRPGDP"
132,2.01231557044518,0.96015350386216,1.05216206658302,0.302840538304055,1993.375,1994,3.40746894117647,0.302562447818928,2.1,"PRPGDP"
133,0.312629945157815,0.495112625523696,-0.182482680365882,0.192579844705273,1993.625,1993,2.74648246774194,0.192365867100045,2.4,"PRPGDP"
134,0.916369777955613,0.681344782782224,0.235024995173389,0.182698396273382,1993.625,1994,2.95654619354839,0.1824953980553,2.1,"PRPGDP"
135,0.28808203125,0.284173177083333,0.00390885416666667,0.190132592773437,1993.875,1993,2.71296875,0.189934744081686,2.4,"PRPGDP"
136,1.0689514195172,0.627138942803061,0.441812476714134,0.332630531221736,1993.875,1994,2.958091421875,0.332284401636698,2.1,"PRPGDP"
137,0.424797115384615,0.650170833333333,-0.225373717948718,0.119115717455621,1994.125,1994,2.65288461538462,0.118925132307692,2.1,"PRPGDP"
138,0.998364,0.772409333333333,0.225954666666667,0.14680416,1994.125,1995,3.0228,0.146549291666667,2.1,"PRPGDP"
139,0.443165625,0.726323958333333,-0.283158333333333,0.08354052734375,1994.375,1994,2.6996875,0.0834535965140479,2.1,"PRPGDP"
140,1.19041471774194,0.88873313172043,0.301681586021505,0.224474492715921,1994.375,1995,3.08282258064516,0.224225076612903,2.1,"PRPGDP"
141,0.394652083303963,0.420715103467684,-0.0260630201637213,0.172264037585307,1994.625,1994,2.57158037037037,0.172009209127341,2.1,"PRPGDP"
142,1.32575586107934,0.634772197670718,0.690983663408625,0.21000444108233,1994.625,1995,3.15629135185185,0.209693783625107,2.1,"PRPGDP"
143,0.258351952151852,0.391823728024442,-0.13347177587259,0.072976736091358,1994.875,1994,2.53055222222222,0.0728687823397436,2.1,"PRPGDP"
144,0.973952839955306,0.910932497019868,0.0630203429354378,0.150041584761643,1994.875,1995,3.00769557407407,0.149819629754599,2.1,"PRPGDP"
145,0.987506880464898,0.555481399869967,0.432025480594932,0.48870596858897,1995.125,1995,2.80625838888889,0.487983030765613,2.1,"PRPGDP"
146,2.47706965367523,0.710894242012973,1.76617541166226,0.685504495249852,1995.125,1996,3.13849361538462,0.684407688057452,1.8,"PRPGDP"
147,0.649550555555556,0.812060555555556,-0.16251,0.219068765432099,1995.375,1995,2.75611111111111,0.218955610078053,2.1,"PRPGDP"
148,2.32958888888889,1.06074444444444,1.26884444444444,0.415977777777778,1995.375,1996,3.18333333333333,0.415762913223141,1.8,"PRPGDP"
149,0.428839886983098,0.502030802135805,-0.0731909151527073,0.388948873513455,1995.625,1995,2.29972734782609,0.388756799995671,2.1,"PRPGDP"
150,1.27395111349849,0.688502465695926,0.585448647802569,0.258899856214577,1995.625,1996,2.80749752222222,0.258766126950004,1.8,"PRPGDP"
151,0.621126289313387,0.344746452396747,0.27637983691664,0.615911226347876,1995.875,1995,2.02778460714286,0.615544830615366,2.1,"PRPGDP"
152,0.963358536585366,0.696169918699187,0.267188617886179,0.538953955978585,1995.875,1996,2.45146341463415,0.538617109756097,1.8,"PRPGDP"
153,0.524777060580066,0.662042834576761,-0.137265773996695,0.0816143638848048,1996.125,1996,2.46570466176471,0.0815394195653513,1.8,"PRPGDP"
154,1.02350957788346,0.79111486650364,0.232394711379817,0.193076308629644,1996.125,1997,2.61128111428571,0.192909287601418,1.7,"PRPGDP"
155,1.1158597074597,0.688913298492489,0.426946408967214,0.321473068756263,1996.375,1996,2.6912837027027,0.321225018548889,1.8,"PRPGDP"
156,1.72157522185087,0.948124471320902,0.77345075052997,0.416860935869511,1996.375,1997,2.8422409054054,0.416539283912822,1.7,"PRPGDP"
157,0.703550922136058,0.432303435972502,0.271247486163555,0.141206969004364,1996.625,1996,2.54989596153846,0.141109180244666,1.8,"PRPGDP"
158,1.35935923717949,0.689419837705128,0.669939399474359,0.186886738658777,1996.625,1997,2.78280769230769,0.186757315709567,1.7,"PRPGDP"
159,0.33299140625,0.249154427083333,0.0838369791666666,0.0371573974609375,1996.875,1996,2.34390625,0.0371187321149844,1.8,"PRPGDP"
160,0.77150234375,0.553440364583333,0.218061979166667,0.113122241210938,1996.875,1997,2.51140625,0.11300452816077,1.7,"PRPGDP"
161,0.666977472601857,0.708810434191105,-0.0418329615892478,0.125915130385497,1997.125,1997,2.4355694,0.125806207262326,1.7,"PRPGDP"
162,2.68480698320124,0.979177501757057,1.70562948144418,0.198335066911231,1997.125,1998,2.67685507142857,0.198163496784145,1.1,"PRPGDP"
163,0.65574064553225,0.60166666674466,0.0540739787875899,0.103201115336138,1997.375,1997,2.44333002777778,0.1031168695277,1.7,"PRPGDP"
164,2.31475206258781,0.801260780760503,1.5134912818273,0.130359943954965,1997.375,1998,2.57796891666667,0.130253527674186,1.1,"PRPGDP"
165,0.65162416099909,0.525314688437789,0.126309472561302,0.251487140186511,1997.625,1997,2.33256384722222,0.251281844561869,1.7,"PRPGDP"
166,2.3858014695165,0.802162524735522,1.58363894478098,0.214914623737676,1997.625,1998,2.57339297058824,0.214717273302655,1.1,"PRPGDP"
167,0.468289071874507,0.396388387598079,0.0719006842764282,0.161191040502993,1997.875,1997,2.25416426388889,0.161059455980133,1.7,"PRPGDP"
168,1.74666546890312,0.668987302643603,1.07767816625951,0.232202179438988,1997.875,1998,2.33063531944444,0.232012626639446,1.1,"PRPGDP"
169,1.28991173771897,0.570952215816253,0.718959521902714,0.280294525550557,1998.125,1998,2.1047971,0.27996123836203,1.1,"PRPGDP"
170,1.22786326600086,0.724376851401634,0.503486414599228,0.329561630609631,1998.125,1999,2.34778775862069,0.329141271386915,1.4,"PRPGDP"
171,0.490657407407407,0.614824074074074,-0.124166666666667,0.11447962962963,1998.375,1998,1.71333333333333,0.114310281065089,1.1,"PRPGDP"
172,0.778081481481482,0.893696296296296,-0.115614814814815,0.188029903978052,1998.375,1999,2.16814814814815,0.187751753232522,1.4,"PRPGDP"
173,0.2686867,0.584836633333333,-0.316149933333333,0.111897098888889,1998.625,1998,1.49596666666667,0.111764046452636,1.1,"PRPGDP"
174,0.554956466666667,0.9414402,-0.386483733333333,0.170060306666667,1998.625,1999,2.0204,0.169858094649227,1.4,"PRPGDP"
175,0.237190740740741,0.527994444444444,-0.290803703703704,0.191045336076818,1998.875,1998,1.31481481481481,0.190762724632917,1.1,"PRPGDP"
176,0.464295535714286,0.788162797619048,-0.323867261904762,0.361781218112245,1998.875,1999,1.72017857142857,0.361284947579855,1.4,"PRPGDP"
177,0.162319166666667,0.8650975,-0.702778333333333,0.148512916666667,1999.125,1999,1.5175,0.148336325802616,1.4,"PRPGDP"
178,0.457318103448276,1.07034281609195,-0.613024712643678,0.215695005945303,1999.125,2000,1.80844827586207,0.215419884764251,2.3,"PRPGDP"
179,0.0928257352941177,0.539816421568627,-0.44699068627451,0.0761163711072664,1999.375,1999,1.52926470588235,0.076046475449684,1.4,"PRPGDP"
180,0.348000735294117,0.807494362745098,-0.459493627450981,0.13245901816609,1999.375,2000,1.83573529411765,0.132337384540593,2.3,"PRPGDP"
181,0.153717095588235,0.502682414215686,-0.348965318627451,0.0863081368944637,1999.625,1999,1.65963235294118,0.0862288824069573,1.4,"PRPGDP"
182,0.315411764705882,0.828450980392157,-0.513039215686275,0.210168771626297,1999.625,2000,1.97558823529412,0.209975779182196,2.3,"PRPGDP"
183,0.083096802631579,0.232504951754386,-0.149408149122807,0.0570230519390582,1999.875,1999,1.56147368421053,0.056981398869709,1.4,"PRPGDP"
184,0.332185684210526,0.637816070175439,-0.305630385964912,0.19049287534626,1999.875,2000,1.92357894736842,0.190353727884357,2.3,"PRPGDP"
185,0.259634848484848,0.653395454545455,-0.393760606060606,0.160314370982553,2000.125,2000,1.98484848484848,0.16015781397964,2.3,"PRPGDP"
186,0.201338636363636,0.744494696969697,-0.543156060606061,0.188936776859504,2000.125,2001,2.18863636363636,0.188752268288352,2.3,"PRPGDP"
187,0.33325585483871,0.616793607526882,-0.283537752688172,0.322108582206035,2000.375,2000,2.40558064516129,0.321750683781362,2.3,"PRPGDP"
188,0.449725717741936,0.976354389784946,-0.526628672043011,0.396922125390219,2000.375,2001,2.52979032258065,0.396481100806452,2.3,"PRPGDP"
189,0.12651725,0.470852290229885,-0.344335040229885,0.121473801426873,2000.625,2000,2.37101724137931,0.121318860353624,2.3,"PRPGDP"
190,0.204394827586207,0.788214367816092,-0.583819540229885,0.200917895362664,2000.625,2001,2.35896551724138,0.200661622536946,2.3,"PRPGDP"
191,0.08705,0.263252083333333,-0.176202083333333,0.076415234375,2000.875,2000,2.403125,0.0763357180020812,2.3,"PRPGDP"
192,0.2768082890625,0.780351606770833,-0.503543317708333,0.25100287866211,2000.875,2001,2.460640625,0.250741689402315,2.3,"PRPGDP"
193,0.416995833333333,0.7383875,-0.321391666666667,0.416871138888889,2001.125,2001,2.31116666666667,0.416375453824812,2.3,"PRPGDP"
194,1.23540178571429,0.958824404761905,0.276577380952381,0.493957780612245,2001.125,2002,2.36107142857143,0.493280197922791,1.5,"PRPGDP"
195,0.191737962962963,0.524984259259259,-0.333246296296296,0.152695130315501,2001.375,2001,2.49759259259259,0.152469249945211,2.3,"PRPGDP"
196,0.956325,0.681719871794872,0.274605128205128,0.214739053254438,2001.375,2002,2.36115384615385,0.214395470769231,1.5,"PRPGDP"
197,0.114044642857143,0.50803869047619,-0.393994047619048,0.110358418367347,2001.625,2001,2.36071428571429,0.110207035077405,2.3,"PRPGDP"
